epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.903842,1.35524,4.08316,0.94759,0,0,0,0,1.18898,4.17512,0.84304,0,0,0
2,1.76099,1.32454,4.13886,0.98829,0,0,0,0,1.17086,4.13552,0.83876,1.6505e-05,1.6505e-05,1.6505e-05
3,2.53976,1.40424,3.92718,1.01495,0,0,0,0,1.11758,4.11272,0.86083,3.26799e-05,3.26799e-05,3.26799e-05
4,3.34666,1.52447,3.91901,0.99418,0,0,0,0,1.06745,4.09911,0.85289,4.85247e-05,4.85247e-05,4.85247e-05
5,4.12798,1.40768,4.09804,0.91277,0.00365,0.25,0.0043,0.00205,1.03244,4.03675,0.84223,6.40395e-05,6.40395e-05,6.40395e-05
6,4.99034,1.68252,4.10657,0.9392,0.00311,0.25,0.00385,0.00208,0.97319,4.02144,0.82964,7.92242e-05,7.92242e-05,7.92242e-05
7,5.817,1.49226,3.98632,0.99752,0.00268,0.25,0.00361,0.00194,1.00484,3.99957,0.82187,9.40788e-05,9.40788e-05,9.40788e-05
8,6.59718,1.12411,3.62868,0.89896,0.00487,0.5,0.00597,0.00264,1.01929,3.94735,0.80821,0.000108603,0.000108603,0.000108603
9,7.49966,1.23164,3.94884,0.8819,0.00639,0.45833,0.00785,0.00309,0.96407,3.9169,0.77812,0.000122798,0.000122798,0.000122798
10,8.19197,1.00454,3.64187,0.8533,0.00758,0.58333,0.00973,0.0045,0.95374,3.90767,0.76658,0.000136662,0.000136662,0.000136662
11,8.9013,1.32079,3.56237,0.90091,0.00753,0.58333,0.0097,0.00502,0.87659,3.89876,0.75094,0.000150197,0.000150197,0.000150197
12,9.62499,1.00307,3.34863,0.82875,0.0075,0.58333,0.01128,0.00636,0.8426,3.88863,0.73977,0.000163401,0.000163401,0.000163401
13,10.328,1.13747,3.19706,0.77276,0.01253,0.75,0.01532,0.00939,0.809,3.88217,0.72819,0.000176275,0.000176275,0.000176275
14,11.0373,0.88955,3.08572,0.87488,0.01248,0.75,0.01525,0.00959,0.76726,3.8737,0.72739,0.000188819,0.000188819,0.000188819
15,11.776,0.86154,2.9328,0.8188,0.01695,0.91667,0.02115,0.01378,0.74844,3.8619,0.72627,0.000201034,0.000201034,0.000201034
16,12.4676,0.85457,2.70056,0.84425,0.01703,0.91667,0.02151,0.0145,0.77485,3.8562,0.72895,0.000212918,0.000212918,0.000212918
17,13.168,1.11144,2.58243,0.91837,0.01947,1,0.02608,0.01518,0.87658,3.86428,0.72998,0.000224472,0.000224472,0.000224472
18,13.905,0.92762,2.33058,0.83126,0.01947,1,0.02608,0.01518,0.87658,3.86428,0.72998,0.000235695,0.000235695,0.000235695
19,14.753,1.00504,2.54985,0.88787,0.01925,1,0.02667,0.01579,0.96651,3.85195,0.73361,0.000246589,0.000246589,0.000246589
20,15.4516,0.93974,2.07063,0.79913,0.01925,1,0.02667,0.01579,0.96651,3.85195,0.73361,0.000257153,0.000257153,0.000257153
21,16.2133,1.1921,2.08083,0.8232,0.01853,1,0.02475,0.0139,1.01679,3.84481,0.73638,0.000267387,0.000267387,0.000267387
22,16.9157,1.1452,2.17823,0.88581,0.01853,1,0.02475,0.0139,1.01679,3.84481,0.73638,0.00027729,0.00027729,0.00027729
23,17.6318,1.11318,2.11873,0.81618,0.01837,1,0.02374,0.01379,0.98725,3.82224,0.73455,0.000286864,0.000286864,0.000286864
24,18.321,1.14484,2.04591,0.86029,0.01837,1,0.02374,0.01379,0.98725,3.82224,0.73455,0.000296108,0.000296108,0.000296108
25,19.0692,0.97915,1.96433,0.82764,0.01867,1,0.02508,0.01532,0.97338,3.79953,0.73135,0.000305021,0.000305021,0.000305021
26,19.7572,1.14468,2.00836,0.90219,0.01867,1,0.02508,0.01532,0.97338,3.79953,0.73135,0.000313604,0.000313604,0.000313604
27,20.4984,1.04349,1.69779,0.84316,0.01858,1,0.02528,0.01497,0.87205,3.79323,0.72816,0.000321858,0.000321858,0.000321858
28,21.1829,1.292,1.92875,0.81047,0.01858,1,0.02528,0.01497,0.87205,3.79323,0.72816,0.000329781,0.000329781,0.000329781
29,22.0623,1.26109,1.75093,0.81183,0.01885,1,0.02663,0.01607,0.93846,3.78041,0.74175,0.000337374,0.000337374,0.000337374
30,22.7742,0.92575,1.32082,0.77161,0.01885,1,0.02663,0.01607,0.93846,3.78041,0.74175,0.000344637,0.000344637,0.000344637
31,23.473,0.79466,1.5697,0.89796,0.01958,1,0.02814,0.01653,0.96423,3.76033,0.76031,0.00035157,0.00035157,0.00035157
32,24.1626,0.86369,1.51912,0.88712,0.01958,1,0.02814,0.01653,0.96423,3.76033,0.76031,0.000358173,0.000358173,0.000358173
33,24.8853,0.98171,1.21511,0.80599,0.01953,1,0.02801,0.01693,0.87306,3.71424,0.7558,0.000364446,0.000364446,0.000364446
34,25.5823,1.17422,1.34805,0.78303,0.01953,1,0.02801,0.01693,0.87306,3.71424,0.7558,0.000370389,0.000370389,0.000370389
