epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,26.2878,0.88285,1.62829,0.88745,0.0191,1,0.02745,0.01724,0.84716,3.68594,0.75856,0.000376002,0.000376002,0.000376002
36,26.9786,1.41111,1.32346,0.79314,0.0191,1,0.02745,0.01724,0.84716,3.68594,0.75856,0.000381285,0.000381285,0.000381285
37,27.864,0.81445,1.21867,0.77512,0.01953,1,0.02866,0.01746,0.94245,3.64998,0.76565,0.000386237,0.000386237,0.000386237
38,28.5503,0.91994,0.98478,0.76624,0.01953,1,0.02866,0.01746,0.94245,3.64998,0.76565,0.00039086,0.00039086,0.00039086
39,29.2383,0.87131,1.24744,0.70339,0.01931,1,0.02771,0.01715,1.05031,3.62426,0.78237,0.000395152,0.000395152,0.000395152
40,29.8986,1.09029,1.39059,0.86566,0.01931,1,0.02771,0.01715,1.05031,3.62426,0.78237,0.000399115,0.000399115,0.000399115
41,30.6026,0.97683,1.16042,0.81413,0.01958,1,0.02874,0.01872,1.05373,3.61336,0.80436,0.000402747,0.000402747,0.000402747
42,31.2801,0.93446,1.10578,0.77201,0.01958,1,0.02874,0.01872,1.05373,3.61336,0.80436,0.00040605,0.00040605,0.00040605
43,32.0276,1.30245,1.12722,0.91707,0.01953,1,0.02782,0.01749,1.01515,3.60655,0.79174,0.000409022,0.000409022,0.000409022
44,32.688,0.95944,1.17395,0.85428,0.01953,1,0.02782,0.01749,1.01515,3.60655,0.79174,0.000411664,0.000411664,0.000411664
45,33.4009,0.89562,1.1528,0.83709,0.01712,0.91667,0.02376,0.01662,0.97019,3.6133,0.79205,0.000413976,0.000413976,0.000413976
46,34.2346,1.04579,1.28491,0.85431,0.01712,0.91667,0.02376,0.01662,0.97019,3.6133,0.79205,0.000415958,0.000415958,0.000415958
47,34.9635,1.3497,1.49162,0.85835,0.0176,0.91667,0.02433,0.01652,0.98221,3.5921,0.79526,0.00041761,0.00041761,0.00041761
48,35.6303,0.69693,1.20665,0.87009,0.0176,0.91667,0.02433,0.01652,0.98221,3.5921,0.79526,0.000418932,0.000418932,0.000418932
49,36.3903,0.88986,1.39511,0.88171,0.01686,0.91667,0.02214,0.01401,0.9389,3.58346,0.78189,0.000419924,0.000419924,0.000419924
50,37.0666,0.74151,1.06944,0.89579,0.01686,0.91667,0.02214,0.01401,0.9389,3.58346,0.78189,0.000420586,0.000420586,0.000420586
51,37.7477,0.88522,1.0189,0.82676,0.01666,0.91667,0.02207,0.01177,1.01183,3.5965,0.7736,0.000420918,0.000420918,0.000420918
