epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.28386,1.79898,4.63793,0.96909,0,0,0,0,1.63075,5.07103,0.83862,0,0,0
2,4.28645,1.30448,4.27288,0.93897,0,0,0,0,1.58528,5.02874,0.83312,1.41485e-05,1.41485e-05,1.41485e-05
3,6.24797,1.25503,4.1671,0.96026,0,0,0,0,1.47369,4.98604,0.82517,2.80141e-05,2.80141e-05,2.80141e-05
4,8.24485,1.28277,4.17312,0.92453,0,0,0,0,1.45261,4.91863,0.83347,4.15968e-05,4.15968e-05,4.15968e-05
5,10.1545,1.24491,4.0747,0.85451,0.00364,0.125,0.00207,0.00104,1.39151,4.75753,0.8441,5.48965e-05,5.48965e-05,5.48965e-05
6,12.1504,1.02778,3.99503,0.85529,0.00687,0.25,0.00445,0.00188,1.29051,4.71221,0.82147,6.79132e-05,6.79132e-05,6.79132e-05
7,14.1361,1.10043,3.9111,0.89439,0.01007,0.375,0.00759,0.00396,1.29917,4.68058,0.82018,8.0647e-05,8.0647e-05,8.0647e-05
8,16.5558,1.14176,3.8301,0.86042,0.00968,0.375,0.00737,0.00383,1.29262,4.64649,0.82009,9.30979e-05,9.30979e-05,9.30979e-05
9,18.7651,0.98344,3.73411,0.84056,0,0,0,0,1.22679,4.61465,0.81188,0.000105266,0.000105266,0.000105266
10,20.7691,0.91577,3.54797,0.8297,0,0,0,0,1.19287,4.60229,0.81012,0.000117151,0.000117151,0.000117151
11,22.7238,0.95443,3.50122,0.82987,0.00295,0.125,0.00232,0.00093,1.22704,4.59346,0.81495,0.000128753,0.000128753,0.000128753
12,24.5894,0.98787,3.37557,0.83527,0.00286,0.125,0.00356,0.00107,1.27226,4.58045,0.82228,0.000140072,0.000140072,0.000140072
13,26.5024,1.16561,3.38825,0.85554,0.00286,0.125,0.00906,0.00272,1.29457,4.56725,0.82356,0.000151108,0.000151108,0.000151108
14,28.4374,1.14797,3.23087,0.83288,0.00279,0.125,0.01511,0.00302,1.30574,4.58967,0.82349,0.000161861,0.000161861,0.000161861
15,30.2837,1.10573,2.99175,0.81594,0.00272,0.125,0.02203,0.0022,1.31872,4.64068,0.82838,0.000172332,0.000172332,0.000172332
16,32.1867,0.904,2.69892,0.83133,0.00274,0.125,0.00166,0.00083,1.39489,4.65181,0.84503,0.000182519,0.000182519,0.000182519
17,34.1469,1.0363,2.62851,0.8053,0.00275,0.125,0.00171,0.0012,1.35628,4.65688,0.8454,0.000192423,0.000192423,0.000192423
